Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,Height,Manufacturer_Name
"C1, C2",2,100nF,C_Disc_D3.8mm_W2.6mm_P2.50mm,,,,tht,Unpolarized capacitor,,
J1,1,RG9922-111D20-01B0,RG9922111D2001B0,,RG9922-111D20-01B0,,tht,"HDMI, Displayport & DVI Connectors Right Angle mounted, PTH 1u Gold plated w/postion peg 6.13mm H , 500mA , 40V , 100 MOhms , -25C ~ +85C",6.38,Rego Electronics
J2,1,From Computer,PinHeader_1x09_P2.54mm_Vertical,,,,tht,"Generic connector, single row, 01x09, script generated (kicad-library-utils/schlib/autogen/connector/)",,
"R1, R2, R3, R4, R5, R6, R7, R8",8,270Ω,R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal,,,,tht,Resistor,,
U1,1,RaspberryPi Pico,RaspberryPi_Pico_Common_Unspecified,,,,tht,"Versatile and inexpensive microcontroller module powered by RP2040 dual-core Arm Cortex-M0+ processor up to 133 MHz, 264kB SRAM, 2MB QSPI flash; also supports Raspberry Pi Pico 2",,
U2,1,SN74LVC245AN,DIP-20_W7.62mm,,,,tht,"8-Bit Single-Supply Bus Transceiver With 5V tolerant input voltage and 3-State Outputs 24mA, TSSOP-20",,
